  0.0070   -0.65008681E+03   -0.68877739E+03   -0.49069886E+03   -0.18719954E+00   -0.71621529E-03    0.79339037E-03   -0.22713821E+03   -0.13504749E+04   -0.14721562E+05   -0.64594804E+01   -0.18746387E-01    0.26543616E-01    0.00000000E+00   -0.11451894E+04   -0.15462848E+05   -0.42297883E+02   -0.80760358E-01   -0.33189832E-01    0.00000000E+00    0.14699632E+05    0.19065192E+06    0.83274053E+02    0.16134751E+00   -0.42518171E+00
  0.0080   -0.74119874E+03   -0.79872402E+03   -0.63815190E+03   -0.24379856E+00   -0.93160387E-03    0.10316322E-02   -0.22388225E+03   -0.16850390E+04   -0.16751651E+05   -0.73624226E+01   -0.21331497E-01    0.30203955E-01    0.00000000E+00   -0.12913745E+04   -0.15253249E+05   -0.42184249E+02   -0.80326667E-01   -0.33400959E-01    0.00000000E+00    0.16726660E+05    0.18979609E+06    0.83046749E+02    0.16047999E+00   -0.42341630E+00
  0.0090   -0.83162061E+03   -0.91315963E+03   -0.80372214E+03   -0.30754786E+00   -0.11735523E-02    0.12990507E-02   -0.22025245E+03   -0.20608846E+04   -0.18753080E+05   -0.82575397E+01   -0.23880111E-01    0.33812617E-01    0.00000000E+00   -0.14307550E+04   -0.15017568E+05   -0.42056059E+02   -0.79838398E-01   -0.33637750E-01    0.00000000E+00    0.18725056E+05    0.18883216E+06    0.82790330E+02    0.15950330E+00   -0.42142752E+00
  0.0100   -0.92127410E+03   -0.10325649E+04   -0.98684758E+03   -0.37830231E+00   -0.14412740E-02    0.15947035E-02   -0.21627041E+03   -0.24767991E+04   -0.20722596E+05   -0.91439225E+01   -0.26388088E-01    0.37363737E-01    0.00000000E+00   -0.15625793E+04   -0.14756484E+05   -0.41913532E+02   -0.79296739E-01   -0.33899299E-01    0.00000000E+00    0.20691571E+05    0.18776233E+06    0.82505233E+02    0.15841981E+00   -0.41921976E+00
  0.0120   -0.10979765E+04   -0.12880687E+04   -0.14032364E+04   -0.54017112E+00   -0.20504986E-02    0.22664743E-02   -0.20734570E+03   -0.34233781E+04   -0.24553448E+05   -0.10886967E+02   -0.31266288E-01    0.44270926E-01    0.00000000E+00   -0.18007228E+04   -0.14161172E+05   -0.41586458E+02   -0.78058599E-01   -0.34492602E-01    0.00000000E+00    0.24516528E+05    0.18531493E+06    0.81850983E+02    0.15594315E+00   -0.41416713E+00
  0.0140   -0.12707375E+04   -0.15684945E+04   -0.18817490E+04   -0.72795356E+00   -0.27514766E-02    0.30376116E-02   -0.19731707E+03   -0.45127440E+04   -0.28220618E+05   -0.12584792E+02   -0.35936056E-01    0.50882984E-01    0.00000000E+00   -0.20005160E+04   -0.13474074E+05   -0.41205222E+02   -0.76624080E-01   -0.35171898E-01    0.00000000E+00    0.28177967E+05    0.18247583E+06    0.81088392E+02    0.15307365E+00   -0.40830230E+00
  0.0160   -0.14390419E+04   -0.18765612E+04   -0.24160717E+04   -0.93998999E+00   -0.35353577E-02    0.38975422E-02   -0.18641572E+03   -0.57312407E+04   -0.31702769E+05   -0.14231108E+02   -0.40370226E-01    0.57161444E-01    0.00000000E+00   -0.21573393E+04   -0.12702879E+05   -0.40772345E+02   -0.75006672E-01   -0.35927024E-01    0.00000000E+00    0.31654573E+05    0.17927010E+06    0.80222503E+02    0.14983832E+00   -0.40167540E+00
  0.0180   -0.16024331E+04   -0.22143936E+04   -0.29992687E+04   -0.11744381E+01   -0.43924101E-02    0.48346604E-02   -0.17488825E+03   -0.70638443E+04   -0.34981076E+05   -0.15820160E+02   -0.44544824E-01    0.63072361E-01    0.00000000E+00   -0.22673142E+04   -0.11856063E+05   -0.40290638E+02   -0.73221293E-01   -0.36746823E-01    0.00000000E+00    0.34927543E+05    0.17572548E+06    0.79258938E+02    0.14626698E+00   -0.39434194E+00
  0.0200   -0.17605168E+04   -0.25834829E+04   -0.36239138E+04   -0.14293007E+01   -0.53122021E-02    0.58365517E-02   -0.16298931E+03   -0.84944410E+04   -0.38039420E+05   -0.17346777E+02   -0.48439325E-01    0.68586672E-01    0.00000000E+00   -0.23273565E+04   -0.10942742E+05   -0.39763165E+02   -0.71284044E-01   -0.37619355E-01    0.00000000E+00    0.37980775E+05    0.17187198E+06    0.78203825E+02    0.14239184E+00   -0.38636202E+00
  0.0220   -0.19129632E+04   -0.29846627E+04   -0.42822289E+04   -0.17024556E+01   -0.62837925E-02    0.68902283E-02   -0.15097429E+03   -0.10006119E+05   -0.40864534E+05   -0.18806403E+02   -0.52036835E-01    0.73680456E-01    0.00000000E+00   -0.23352129E+04   -0.99725100E+04   -0.39193202E+02   -0.69211954E-01   -0.38532124E-01    0.00000000E+00    0.40801020E+05    0.16774138E+06    0.77063717E+02    0.13824696E+00   -0.37779934E+00
  0.0240   -0.20595080E+04   -0.34181004E+04   -0.49662255E+04   -0.19916861E+01   -0.72959262E-02    0.79823691E-02   -0.13909193E+03   -0.11581466E+05   -0.43446093E+05   -0.20195132E+02   -0.55324207E-01    0.78335098E-01    0.00000000E+00   -0.22894792E+04   -0.89552832E+04   -0.38584195E+02   -0.67022703E-01   -0.39472311E-01    0.00000000E+00    0.43377967E+05    0.16336673E+06    0.75845508E+02    0.13386771E+00   -0.36872025E+00
  0.0260   -0.21999513E+04   -0.38833046E+04   -0.56678461E+04   -0.22947118E+01   -0.83372293E-02    0.90995599E-02   -0.12757749E+03   -0.13202872E+05   -0.45776747E+05   -0.21509719E+02   -0.58292080E-01    0.82537341E-01    0.00000000E+00   -0.21896002E+04   -0.79011319E+04   -0.37939719E+02   -0.64734362E-01   -0.40427003E-01    0.00000000E+00    0.45704276E+05    0.15878192E+06    0.74556346E+02    0.12929023E+00   -0.35919284E+00
  0.0280   -0.23341561E+04   -0.43791466E+04   -0.63791023E+04   -0.26092202E+01   -0.93963998E-02    0.10228526E-01   -0.11664634E+03   -0.14852820E+05   -0.47852093E+05   -0.22747590E+02   -0.60934848E-01    0.86279251E-01    0.00000000E+00   -0.20358523E+04   -0.68201229E+04   -0.37263431E+02   -0.62365117E-01   -0.41383417E-01    0.00000000E+00    0.47775556E+05    0.15402113E+06    0.73203549E+02    0.12455089E+00   -0.34928588E+00
  0.0300   -0.24620440E+04   -0.49038975E+04   -0.70922056E+04   -0.29328961E+01   -0.10462390E-01    0.11356356E-01   -0.10648839E+03   -0.16514165E+05   -0.49670605E+05   -0.23906834E+02   -0.63250569E-01    0.89558074E-01    0.00000000E+00   -0.18293087E+04   -0.57221652E+04   -0.36559033E+02   -0.59933018E-01   -0.42329119E-01    0.00000000E+00    0.49590286E+05    0.14911839E+06    0.71794522E+02    0.11968580E+00   -0.33906800E+00
  0.0400   -0.30074914E+04   -0.78657340E+04   -0.10441127E+05   -0.46110353E+01   -0.15545565E-01    0.16575939E-01   -0.71672827E+02   -0.24448606E+05   -0.55039102E+05   -0.28500969E+02   -0.70087014E-01    0.99237488E-01    0.00000000E+00   -0.90715211E+02   -0.29695545E+03   -0.32743008E+02   -0.47422948E-01   -0.46509382E-01    0.00000000E+00    0.54944218E+05    0.12360344E+06    0.64161177E+02    0.94660653E-01   -0.28559793E+00
  0.0500   -0.34074557E+04   -0.11055603E+05   -0.12956615E+05   -0.62133593E+01   -0.19530193E-01    0.20330058E-01   -0.65193815E+02   -0.30686283E+05   -0.55086251E+05   -0.31179698E+02   -0.70147346E-01    0.99322206E-01    0.00000000E+00    0.24662869E+04    0.43658580E+04   -0.28740599E+02   -0.35609703E-01   -0.49041004E-01    0.00000000E+00    0.54983726E+05    0.98895964E+05    0.56154942E+02    0.71028561E-01   -0.23321895E+00
  0.0600   -0.36832316E+04   -0.13994626E+05   -0.14347750E+05   -0.75728450E+01   -0.21964286E-01    0.22175709E-01   -0.75213191E+02   -0.34506841E+05   -0.51548965E+05   -0.32248389E+02   -0.65643319E-01    0.92943985E-01    0.00000000E+00    0.52668795E+04    0.77749946E+04   -0.24875482E+02   -0.25593959E-01   -0.49513265E-01    0.00000000E+00    0.51444613E+05    0.77222248E+05    0.48423296E+02    0.50991252E-01   -0.18657837E+00
  0.0700   -0.38528068E+04   -0.16340678E+05   -0.14701052E+05   -0.86164101E+01   -0.22922374E-01    0.22304533E-01   -0.84012383E+02   -0.36010268E+05   -0.46164082E+05   -0.32111508E+02   -0.58786592E-01    0.83234443E-01    0.00000000E+00    0.78316064E+04    0.98965638E+04   -0.21341758E+02   -0.17703864E-01   -0.48150049E-01    0.00000000E+00    0.46062246E+05    0.59396170E+05    0.41354563E+02    0.35205318E-01   -0.14752344E+00
  0.0800   -0.39286660E+04   -0.17969007E+05   -0.14293901E+05   -0.93414642E+01   -0.22756453E-01    0.21217877E-01   -0.81927897E+02   -0.35739852E+05   -0.40187320E+05   -0.31152182E+02   -0.51176172E-01    0.72457712E-01    0.00000000E+00    0.99010619E+04    0.10964774E+05   -0.18223896E+02   -0.11765309E-01   -0.45497780E-01    0.00000000E+00    0.40090952E+05    0.45274299E+05    0.35117789E+02    0.23322759E-01   -0.11596091E+00
